country,reserves_2000
Afghanistan,0
Albania,0.165
Algeria,9.2
American Samoa,0
Angola,5.412
Antarctica,0
Antigua and Barbuda,0
Argentina,2.753416
Armenia,0
Aruba,0
Australia,2.895
Austria,0.08568
Azerbaijan,1.178
"Bahamas, The",0
Bahrain,0.14811
Bangladesh,0.056902
Barbados,0.003156
Belarus,0.198
Belgium,0
Belize,NA
Benin,0.00821
Bermuda,0
Bhutan,0
Bolivia,0.131931
Bosnia and Herzegovina,0
Botswana,0
Brazil,7.357476
Brunei,1.35
Bulgaria,0.015
Burkina Faso,0
Burma (Myanmar),0.05
Burundi,0
Cambodia,0
Cameroon,0.4
Canada,4.930827
Cape Verde,0
Cayman Islands,0
Central African Republic,0
Chad,NA
Chile,0.15
China,24
Colombia,2.5772
Comoros,0
Congo (Brazzaville),1.505913
Congo (Kinshasa),0.187
Cook Islands,0
Costa Rica,0
Cote dIvoire (IvoryCoast),0.1
Croatia,0.092196
Cuba,0.2835
Cyprus,0
Czech Republic,0.015
Denmark,1.069268
Djibouti,0
Dominica,0
Dominican Republic,0
Ecuador,2.115
Egypt,2.94756
El Salvador,0
Equatorial Guinea,0.012
Eritrea,0
Estonia,0
Ethiopia,0.000428
Falkland Islands (Islas Malvinas),0
Faroe Islands,0
Fiji,0
Finland,0
Former Czechoslovakia,--
Former Serbia and Montenegro,0.0775
Former U.S.S.R.,--
Former Yugoslavia,--
France,0.107047
French Guiana,0
French Polynesia,0
Gabon,2.499
"Gambia, The",0
Georgia,0.035
Germany,0.356971
"Germany, East",--
"Germany, West",--
Ghana,0.01651
Gibraltar,0
Greece,0.01
Greenland,0
Grenada,0
Guadeloupe,0
Guam,0
Guatemala,0.526
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0
Hawaiian Trade Zone,--
Honduras,0
Hong Kong,0
Hungary,0.109716
Iceland,0
India,4.8378
Indonesia,4.97971
Iran,89.7
Iraq,112.5
Ireland,0
Israel,0.0039
Italy,0.621763
Jamaica,0
Japan,0.058577
Jordan,0.0009
Kazakhstan,5.417
Kenya,0
Kiribati,0
"Korea, North",0
"Korea, South",0
Kosovo,-
Kuwait,96.5
Kyrgyzstan,0.04
Laos,0
Latvia,0
Lebanon,0
Lesotho,0
Liberia,0
Libya,29.5
Lithuania,0.012
Luxembourg,0
Macau,0
Macedonia,0
Madagascar,0
Malawi,0
Malaysia,3.9
Maldives,0
Mali,0
Malta,0
Martinique,0
Mauritania,NA
Mauritius,0
Mexico,28.399
Moldova,0
Mongolia,NA
Montenegro,--
Montserrat,0
Morocco,0.001904
Mozambique,0
Namibia,0
Nauru,0
Nepal,0
Netherlands,0.106927
Netherlands Antilles,0
New Caledonia,0
New Zealand,0.127
Nicaragua,0
Niger,0
Nigeria,22.5
Niue,0
Northern Mariana Islands,-
Norway,10.787024
Oman,5.283
Pakistan,0.208
Palestinian Territories,0
Panama,0
Papua New Guinea,0.333
Paraguay,0
Peru,0.355
Philippines,0.289
Poland,0.114883
Portugal,0
Puerto Rico,0
Qatar,3.7
Reunion,0
Romania,1.42614
Russia,48.573
Rwanda,0
Saint Helena,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Pierre and Miquelon,0
Saint Vincent/Grenadines,0
Samoa,0
Sao Tome and Principe,0
Saudi Arabia,263.5
Senegal,0
Serbia,--
Seychelles,0
Sierra Leone,0
Singapore,0
Slovakia,0.009
Slovenia,0
Solomon Islands,0
Somalia,0
South Africa,0.029362
Spain,0.013999
Sri Lanka,0
Sudan,0.2621
Suriname,0.074
Swaziland,0
Sweden,0
Switzerland,0
Syria,2.5
Taiwan,0.004
Tajikistan,0.012
Tanzania,0
Thailand,0.29625
Timor-Leste (East Timor),--
Togo,0
Tonga,0
Trinidad and Tobago,0.605
Tunisia,0.30756
Turkey,0.29865
Turkmenistan,0.546
Turks and Caicos Islands,0
U.S. Pacific Islands,0
U.S. Territories,-
Uganda,0
Ukraine,0.395
United Arab Emirates,97.8
United Kingdom,5.153255
United States,23.168
Uruguay,0
Uzbekistan,0.594
Vanuatu,0
Venezuela,72.6
Vietnam,0.6
"Virgin Islands,  U.S.",0
"Virgin Islands, British",0
Wake Island,0
Western Sahara,0
Yemen,4
Zambia,0
Zimbabwe,0